 U-235(n,el) ENDFB-8.0
Energy(eV) XS(b)
4.92224 11.8943
4.92499 11.8705
4.92773 11.8460
4.93047 11.8210
4.93321 11.7957
4.93595 11.7704
4.93869 11.7453
4.94143 11.7204
4.94418 11.6960
4.94667 11.6743
4.94916 11.6530
4.95165 11.6322
4.95414 11.6121
4.95664 11.5924
4.95913 11.5734
4.96162 11.5550
4.96411 11.5372
4.96661 11.5199
4.96910 11.5033
4.97159 11.4872
4.97408 11.4716
4.97657 11.4566
4.97907 11.4421
4.98156 11.4281
4.98405 11.4145
4.98804 11.3937
4.99103 11.3789
4.99402 11.3646
4.99701 11.3508
5.00000 11.3375
5.00424 11.3195
5.00847 11.3023
5.01271 11.2860
5.01695 11.2703
5.02118 11.2553
5.02542 11.2410
5.02966 11.2272
5.03389 11.2139
5.03813 11.2011
5.04237 11.1888
5.04661 11.1769
5.05084 11.1653
5.05508 11.1541
5.05932 11.1433
5.06779 11.1225
5.07304 11.1102
5.07829 11.0982
5.08355 11.0867
5.08880 11.0754
5.09931 11.0538
5.10981 11.0333
5.12032 11.0137
5.13082 10.9949
5.14133 10.9769
5.15183 10.9594
5.16070 10.9452
5.16958 10.9312
5.17845 10.9177
5.18732 10.9044
5.19619 10.8914
5.20506 10.8787
5.22281 10.8539
5.24055 10.8300
5.25830 10.8068
5.26717 10.7955
5.27604 10.7843
5.28491 10.7732
5.29378 10.7623
5.30432 10.7494
5.31485 10.7366
5.32539 10.7239
5.33066 10.7176
5.33592 10.7112
5.34119 10.7049
5.34646 10.6986
5.35173 10.6923
5.35700 10.6860
5.36226 10.6797
5.36753 10.6735
5.37280 10.6673
5.37807 10.6614
5.38307 10.6558
5.38808 10.6506
5.39309 10.6457
5.39810 10.6412
5.40310 10.6372
5.40811 10.6339
5.41312 10.6313
5.41813 10.6296
5.42792 10.6291
5.43282 10.6304
5.43772 10.6327
5.44399 10.6370
5.44713 10.6398
5.45027 10.6428
5.45341 10.6462
5.45654 10.6498
5.45968 10.6536
5.46282 10.6576
5.46461 10.6599
5.46730 10.6633
5.46999 10.6668
5.47334 10.6711
5.47669 10.6753
5.48004 10.6792
5.48339 10.6829
5.48675 10.6863
5.49010 10.6893
5.49345 10.6919
5.49680 10.6940
5.50144 10.6962
5.50608 10.6974
5.51535 10.6972
5.52264 10.6945
5.52993 10.6901
5.53357 10.6873
5.53721 10.6842
5.54086 10.6808
5.54450 10.6772
5.54748 10.6741
5.55046 10.6709
5.55344 10.6676
5.55643 10.6643
5.55941 10.6609
5.56239 10.6574
5.56537 10.6539
5.56835 10.6504
5.57133 10.6469
5.57431 10.6434
5.58028 10.6364
5.58624 10.6294
5.59220 10.6224
5.59684 10.6171
5.60148 10.6117
5.60611 10.6064
5.61075 10.6011
5.62003 10.5905
5.62930 10.5800
5.63858 10.5694
5.64785 10.5587
5.65713 10.5480
5.66640 10.5371
5.67784 10.5234
5.68928 10.5095
5.70071 10.4953
5.71215 10.4808
5.72359 10.4659
5.73503 10.4507
5.75790 10.4192
5.78078 10.3860
5.79221 10.3687
5.80365 10.3511
5.81938 10.3259
5.83510 10.2998
5.85083 10.2727
5.86656 10.2445
5.88228 10.2151
5.89801 10.1844
5.91374 10.1524
5.92946 10.1191
5.94447 10.0858
5.95948 10.0511
5.96698 10.0333
5.97448 10.0150
5.98199 9.99643
5.98949 9.97747
5.99699 9.95814
6.00450 9.93847
6.01200 9.91846
6.01950 9.89814
